0.065	1
0.066	1
0.067	15
0.068	48
0.069	108
0.07	176
0.071	277
0.072	410
0.073	614
0.074	721
0.075	901
0.076	1016
0.077	1172
0.078	1310
0.079	1505
0.08	1858
0.081	2196
0.082	2518
0.083	2947
0.084	3386
0.085	3660
0.086	4009
0.087	4261
0.088	4479
0.089	4693
0.09	4842
0.091	5059
0.092	5249
0.093	5228
0.094	5334
0.095	5452
0.096	5366
0.097	5399
0.098	5456
0.099	5419
0.1	5331
0.101	5137
0.102	4982
0.103	4813
0.104	4533
0.105	4188
0.106	4066
0.107	3966
0.108	3685
0.109	3391
0.11	3230
0.111	2945
0.112	2782
0.113	2609
0.114	2384
0.115	2369
0.116	2213
0.117	2053
0.118	1944
0.119	1787
0.12	1685
0.121	1625
0.122	1488
0.123	1477
0.124	1344
0.125	1266
0.126	1242
0.127	1182
0.128	1104
0.129	1037
0.13	1039
0.131	964
0.132	898
0.133	848
0.134	837
0.135	786
0.136	725
0.137	717
0.138	696
0.139	683
0.14	641
0.141	615
0.142	643
0.143	582
0.144	601
0.145	596
0.146	576
0.147	571
0.148	546
0.149	499
0.15	504
0.151	491
0.152	494
0.153	491
0.154	474
0.155	510
0.156	572
0.157	604
0.158	635
0.159	665
0.16	650
0.161	654
0.162	653
0.163	612
0.164	632
0.165	625
0.166	606
0.167	563
0.168	559
0.169	609
0.17	587
0.171	665
0.172	650
0.173	674
0.174	658
0.175	660
0.176	693
0.177	687
0.178	721
0.179	720
0.18	854
0.181	844
0.182	856
0.183	903
0.184	873
0.185	928
0.186	874
0.187	924
0.188	859
0.189	873
0.19	814
0.191	839
0.192	768
0.193	748
0.194	771
0.195	728
0.196	671
0.197	620
0.198	666
0.199	630
0.2	619
0.201	603
0.202	614
0.203	552
0.204	566
0.205	489
0.206	511
0.207	507
0.208	500
0.209	498
0.21	489
0.211	483
0.212	446
0.213	443
0.214	417
0.215	417
0.216	449
0.217	438
0.218	453
0.219	524
0.22	557
0.221	663
0.222	777
0.223	919
0.224	1083
0.225	1445
0.226	1799
0.227	2187
0.228	2661
0.229	3111
0.23	3721
0.231	4496
0.232	5322
0.233	6286
0.234	7310
0.235	8603
0.236	9612
0.237	10917
0.238	12122
0.239	13530
0.24	14795
0.241	16066
0.242	17866
0.243	19126
0.244	20165
0.245	21485
0.246	22509
0.247	23929
0.248	24751
0.249	25658
0.25	25862
0.251	26746
0.252	26984
0.253	27114
0.254	27464
0.255	27207
0.256	26879
0.257	26761
0.258	26109
0.259	25398
0.26	24143
0.261	23609
0.262	22862
0.263	22169
0.264	20997
0.265	20100
0.266	19208
0.267	18275
0.268	17189
0.269	16427
0.27	15091
0.271	14632
0.272	13916
0.273	12943
0.274	12159
0.275	11672
0.276	10853
0.277	10252
0.278	9703
0.279	9088
0.28	8580
0.281	8091
0.282	7618
0.283	7158
0.284	6751
0.285	6547
0.286	5934
0.287	5733
0.288	5344
0.289	5313
0.29	4894
0.291	4624
0.292	4434
0.293	4185
0.294	3984
0.295	3766
0.296	3795
0.297	3442
0.298	3156
0.299	2970
0.3	2960
0.301	2748
0.302	2657
0.303	2566
0.304	2466
0.305	2342
0.306	2247
0.307	2154
0.308	2019
0.309	1987
0.31	1763
0.311	1769
0.312	1605
0.313	1610
0.314	1578
0.315	1490
0.316	1421
0.317	1374
0.318	1375
0.319	1286
0.32	1277
0.321	1167
0.322	1146
0.323	1091
0.324	1039
0.325	1017
0.326	986
0.327	942
0.328	900
0.329	893
0.33	859
0.331	880
0.332	816
0.333	819
0.334	761
0.335	750
0.336	737
0.337	728
0.338	706
0.339	653
0.34	682
0.341	646
0.342	617
0.343	602
0.344	589
0.345	596
0.346	590
0.347	560
0.348	559
0.349	548
0.35	523
0.351	521
0.352	524
0.353	486
0.354	484
0.355	444
0.356	452
0.357	456
0.358	415
0.359	435
0.36	393
0.361	361
0.362	379
0.363	381
0.364	372
